"",BBDE1.M.DE.W.AEA1.A2P310000.F.V.I10.A,BBDE1.M.DE.W.AEA1.A2P310000.F.V.I10.A_FLAGS
"",Orders received / At current prices / Germany / Intermediate goods / Calendar adjusted only,
unit,2010=100,
unit multiplier,one,
last update,2014-07-04 08:22:47,
1991-01,66.5,
1991-02,64.2,
1991-03,68.0,
1991-04,62.3,
1991-05,59.4,
1991-06,62.3,
1991-07,59.5,
1991-08,54.8,
1991-09,60.6,
1991-10,62.3,
1991-11,62.5,
1991-12,57.1,
1992-01,64.5,
1992-02,62.6,
1992-03,68.2,
1992-04,60.1,
1992-05,59.0,
1992-06,60.4,
1992-07,56.8,
1992-08,52.7,
1992-09,57.1,
1992-10,55.4,
1992-11,56.1,
1992-12,49.0,
1993-01,56.8,
1993-02,55.5,
1993-03,57.6,
1993-04,53.4,
1993-05,51.6,
1993-06,54.7,
1993-07,53.3,
1993-08,48.6,
1993-09,54.2,
1993-10,54.2,
1993-11,54.8,
1993-12,51.2,
1994-01,57.7,
1994-02,58.3,
1994-03,63.2,
1994-04,58.0,
1994-05,57.8,
1994-06,60.9,
1994-07,58.4,
1994-08,54.7,
1994-09,64.5,
1994-10,63.8,
1994-11,65.2,
1994-12,63.5,
1995-01,65.2,
1995-02,66.0,
1995-03,69.8,
1995-04,64.0,
1995-05,61.6,
1995-06,64.4,
1995-07,61.4,
1995-08,55.6,
1995-09,62.8,
1995-10,59.4,
1995-11,58.6,
1995-12,54.9,
1996-01,61.1,
1996-02,58.7,
1996-03,64.6,
1996-04,58.7,
1996-05,58.5,
1996-06,61.5,
1996-07,59.6,
1996-08,55.4,
1996-09,62.1,
1996-10,61.7,
1996-11,62.2,
1996-12,56.0,
1997-01,63.2,
1997-02,64.3,
1997-03,70.1,
1997-04,64.7,
1997-05,63.8,
1997-06,68.7,
1997-07,66.8,
1997-08,61.6,
1997-09,68.9,
1997-10,69.4,
1997-11,69.7,
1997-12,62.5,
1998-01,70.1,
1998-02,68.3,
1998-03,73.4,
1998-04,67.7,
1998-05,66.0,
1998-06,68.8,
1998-07,65.3,
1998-08,60.0,
1998-09,65.5,
1998-10,63.4,
1998-11,63.7,
1998-12,56.9,
1999-01,64.2,
1999-02,62.0,
1999-03,68.7,
1999-04,62.7,
1999-05,63.3,
1999-06,66.4,
1999-07,67.5,
1999-08,63.3,
1999-09,70.0,
1999-10,71.1,
1999-11,73.1,
1999-12,68.1,
2000-01,71.7,
2000-02,74.0,
2000-03,82.6,
2000-04,76.1,
2000-05,77.0,
2000-06,80.6,
2000-07,80.1,
2000-08,75.9,
2000-09,82.8,
2000-10,81.5,
2000-11,80.4,
2000-12,73.8,
2001-01,79.7,
2001-02,77.3,
2001-03,82.8,
2001-04,73.8,
2001-05,75.8,
2001-06,78.1,
2001-07,74.2,
2001-08,68.2,
2001-09,72.5,
2001-10,72.0,
2001-11,70.2,
2001-12,67.7,
2002-01,73.4,
2002-02,73.5,
2002-03,79.1,
2002-04,75.0,
2002-05,73.5,
2002-06,77.4,
2002-07,74.9,
2002-08,68.2,
2002-09,77.4,
2002-10,76.0,
2002-11,77.3,
2002-12,69.1,
2003-01,77.6,
2003-02,75.9,
2003-03,81.8,
2003-04,75.0,
2003-05,71.7,
2003-06,76.3,
2003-07,75.4,
2003-08,68.3,
2003-09,77.3,
2003-10,78.1,
2003-11,79.1,
2003-12,73.5,
2004-01,81.1,
2004-02,80.3,
2004-03,87.8,
2004-04,82.4,
2004-05,81.5,
2004-06,83.5,
2004-07,83.6,
2004-08,76.6,
2004-09,84.5,
2004-10,84.2,
2004-11,84.1,
2004-12,77.1,
2005-01,86.8,
2005-02,82.9,
2005-03,90.5,
2005-04,82.8,
2005-05,82.6,
2005-06,87.4,
2005-07,89.3,
2005-08,80.1,
2005-09,89.9,
2005-10,91.6,
2005-11,93.1,
2005-12,85.3,
2006-01,94.1,
2006-02,93.7,
2006-03,101.3,
2006-04,96.9,
2006-05,97.5,
2006-06,102.5,
2006-07,101.0,
2006-08,93.9,
2006-09,103.0,
2006-10,105.4,
2006-11,107.1,
2006-12,94.6,
2007-01,107.6,
2007-02,104.7,
2007-03,117.8,
2007-04,105.7,
2007-05,108.2,
2007-06,113.7,
2007-07,108.4,
2007-08,100.4,
2007-09,110.1,
2007-10,110.8,
2007-11,118.4,
2007-12,102.9,
2008-01,114.3,
2008-02,110.6,
2008-03,121.8,
2008-04,111.7,
2008-05,112.7,
2008-06,113.2,
2008-07,111.6,
2008-08,103.0,
2008-09,106.2,
2008-10,99.9,
2008-11,89.4,
2008-12,72.5,
2009-01,74.4,
2009-02,68.1,
2009-03,75.2,
2009-04,71.6,
2009-05,73.3,
2009-06,79.9,
2009-07,79.8,
2009-08,76.5,
2009-09,84.9,
2009-10,85.3,
2009-11,88.0,
2009-12,76.0,
2010-01,91.7,
2010-02,90.8,
2010-03,103.4,
2010-04,100.7,
2010-05,99.4,
2010-06,103.6,
2010-07,103.8,
2010-08,94.8,
2010-09,102.3,
2010-10,104.0,
2010-11,106.1,
2010-12,94.0,
2011-01,115.6,
2011-02,110.4,
2011-03,122.2,
2011-04,111.2,
2011-05,112.3,
2011-06,111.4,
2011-07,113.4,
2011-08,103.5,
2011-09,106.2,
2011-10,106.2,
2011-11,104.4,
2011-12,92.9,
2012-01,110.1,
2012-02,106.2,
2012-03,114.0,
2012-04,106.5,
2012-05,107.1,
2012-06,106.0,
2012-07,105.5,
2012-08,97.7,
2012-09,100.5,
2012-10,103.9,
2012-11,103.2,
2012-12,89.6,
2013-01,105.1,
2013-02,101.8,
2013-03,115.3,
2013-04,103.0,
2013-05,102.9,
2013-06,104.4,
2013-07,104.3,
2013-08,95.7,
2013-09,102.0,
2013-10,107.7,
2013-11,106.0,
2013-12,90.2,
2014-01,108.0,
2014-02,106.0,
2014-03,113.7,
2014-04,105.7,
2014-05,102.9,Provisional value
