"",BBDE1.M.DE.Y.BAA1.A2P000000.G.C.I10.A,BBDE1.M.DE.Y.BAA1.A2P000000.G.C.I10.A_FLAGS
"",Output in the production sector / Germany / Production sector including construction (B -F) / Calendar and seasonally adjusted,
unit,2010=100,
unit multiplier,one,
last update,2014-07-07 08:08:46,
1991-01,88.4,
1991-02,86.4,
1991-03,86.5,
1991-04,85.7,
1991-05,84.7,
1991-06,87.4,
1991-07,85.6,
1991-08,84.1,
1991-09,83.6,
1991-10,85.4,
1991-11,86.4,
1991-12,86.2,
1992-01,87.5,
1992-02,88.8,
1992-03,86.8,
1992-04,86.5,
1992-05,85.8,
1992-06,84.7,
1992-07,83.5,
1992-08,83.9,
1992-09,83.1,
1992-10,83.2,
1992-11,81.9,
1992-12,81.3,
1993-01,80.5,
1993-02,79.5,
1993-03,79.5,
1993-04,78.9,
1993-05,78.8,
1993-06,78.5,
1993-07,76.9,
1993-08,80.0,
1993-09,79.4,
1993-10,79.5,
1993-11,78.9,
1993-12,79.5,
1994-01,79.9,
1994-02,80.7,
1994-03,80.9,
1994-04,81.5,
1994-05,81.5,
1994-06,81.7,
1994-07,81.3,
1994-08,81.7,
1994-09,82.3,
1994-10,84.0,
1994-11,84.2,
1994-12,84.3,
1995-01,81.7,
1995-02,84.4,
1995-03,83.0,
1995-04,83.4,
1995-05,84.0,
1995-06,83.0,
1995-07,82.8,
1995-08,82.0,
1995-09,83.1,
1995-10,81.2,
1995-11,82.0,
1995-12,81.4,
1996-01,80.4,
1996-02,79.4,
1996-03,81.0,
1996-04,81.7,
1996-05,82.6,
1996-06,82.7,
1996-07,82.1,
1996-08,83.1,
1996-09,83.6,
1996-10,82.4,
1996-11,83.2,
1996-12,83.5,
1997-01,80.8,
1997-02,82.8,
1997-03,83.8,
1997-04,83.6,
1997-05,82.6,
1997-06,85.0,
1997-07,86.1,
1997-08,83.3,
1997-09,84.0,
1997-10,85.3,
1997-11,85.6,
1997-12,86.0,
1998-01,86.6,
1998-02,86.3,
1998-03,87.5,
1998-04,86.6,
1998-05,87.2,
1998-06,86.7,
1998-07,88.4,
1998-08,86.7,
1998-09,86.1,
1998-10,86.5,
1998-11,85.3,
1998-12,85.4,
1999-01,87.4,
1999-02,85.2,
1999-03,86.2,
1999-04,86.6,
1999-05,87.0,
1999-06,87.2,
1999-07,87.8,
1999-08,88.4,
1999-09,88.1,
1999-10,88.8,
1999-11,88.7,
1999-12,88.9,
2000-01,88.4,
2000-02,89.9,
2000-03,90.1,
2000-04,90.8,
2000-05,93.1,
2000-06,90.5,
2000-07,92.4,
2000-08,93.0,
2000-09,93.0,
2000-10,92.4,
2000-11,93.0,
2000-12,93.6,
2001-01,92.9,
2001-02,94.5,
2001-03,92.6,
2001-04,91.0,
2001-05,92.4,
2001-06,92.3,
2001-07,90.0,
2001-08,92.4,
2001-09,91.3,
2001-10,89.8,
2001-11,89.0,
2001-12,89.6,
2002-01,89.2,
2002-02,90.0,
2002-03,90.3,
2002-04,90.2,
2002-05,89.5,
2002-06,91.1,
2002-07,89.8,
2002-08,91.6,
2002-09,90.9,
2002-10,90.0,
2002-11,91.4,
2002-12,89.4,
2003-01,90.3,
2003-02,90.4,
2003-03,91.0,
2003-04,90.4,
2003-05,89.8,
2003-06,89.4,
2003-07,91.1,
2003-08,89.0,
2003-09,88.9,
2003-10,91.1,
2003-11,91.8,
2003-12,91.9,
2004-01,91.9,
2004-02,91.7,
2004-03,91.7,
2004-04,92.5,
2004-05,93.5,
2004-06,92.9,
2004-07,93.7,
2004-08,92.9,
2004-09,92.9,
2004-10,93.6,
2004-11,92.4,
2004-12,92.4,
2005-01,94.4,
2005-02,92.9,
2005-03,93.3,
2005-04,94.7,
2005-05,93.7,
2005-06,95.4,
2005-07,96.8,
2005-08,94.3,
2005-09,96.4,
2005-10,98.1,
2005-11,97.1,
2005-12,97.4,
2006-01,97.8,
2006-02,98.0,
2006-03,96.8,
2006-04,99.5,
2006-05,100.6,
2006-06,100.4,
2006-07,102.0,
2006-08,102.5,
2006-09,102.2,
2006-10,101.9,
2006-11,103.8,
2006-12,104.6,
2007-01,104.5,
2007-02,105.2,
2007-03,105.5,
2007-04,104.4,
2007-05,106.3,
2007-06,106.5,
2007-07,107.1,
2007-08,107.4,
2007-09,108.5,
2007-10,108.6,
2007-11,108.3,
2007-12,109.2,
2008-01,110.8,
2008-02,110.4,
2008-03,109.4,
2008-04,109.9,
2008-05,107.7,
2008-06,108.6,
2008-07,106.9,
2008-08,108.8,
2008-09,106.8,
2008-10,104.6,
2008-11,100.2,
2008-12,97.0,
2009-01,90.3,
2009-02,87.7,
2009-03,88.1,
2009-04,85.6,
2009-05,88.9,
2009-06,90.4,
2009-07,89.3,
2009-08,90.7,
2009-09,94.0,
2009-10,92.1,
2009-11,92.8,
2009-12,93.1,
2010-01,93.9,
2010-02,92.9,
2010-03,95.9,
2010-04,98.0,
2010-05,100.4,
2010-06,99.6,
2010-07,99.5,
2010-08,100.5,
2010-09,101.9,
2010-10,103.6,
2010-11,103.2,
2010-12,103.3,
2011-01,104.6,
2011-02,105.8,
2011-03,106.4,
2011-04,106.7,
2011-05,107.2,
2011-06,105.6,
2011-07,109.0,
2011-08,108.0,
2011-09,106.3,
2011-10,107.7,
2011-11,107.3,
2011-12,105.5,
2012-01,106.4,
2012-02,106.0,
2012-03,108.3,
2012-04,106.1,
2012-05,107.4,
2012-06,106.4,
2012-07,107.8,
2012-08,107.3,
2012-09,106.2,
2012-10,104.8,
2012-11,104.1,
2012-12,104.3,
2013-01,103.8,
2013-02,104.5,
2013-03,105.5,
2013-04,106.7,
2013-05,105.0,
2013-06,107.1,
2013-07,106.2,
2013-08,107.6,
2013-09,107.1,
2013-10,106.3,
2013-11,108.1,
2013-12,108.3,
2014-01,108.9,Provisional value
2014-02,109.4,Provisional value
2014-03,108.5,Provisional value
2014-04,108.2,Provisional value
2014-05,106.3,Provisional value
