"",BBK01.TS5303O,BBK01.TS5303O_FLAGS
"","Monetary aggregate M3 (from January 2002, excluding currency in circulation; from June 2010, excluding repos with central counterparties) / German contribution / Index / Seasonally adjusted",
unit,1208=100,
unit multiplier,one,
last update,2014-06-30 16:16:18,
1995-01,49.56116,
1995-02,49.37275,
1995-03,49.11584,
1995-04,49.27581,
1995-05,49.68197,
1995-06,49.82823,
1995-07,49.55746,
1995-08,49.85166,
1995-09,50.10955,
1995-10,50.51705,
1995-11,51.09180,
1995-12,51.36598,
1996-01,52.05721,
1996-02,52.37903,
1996-03,52.64199,
1996-04,52.80090,
1996-05,52.81666,
1996-06,52.92292,
1996-07,53.15256,
1996-08,53.38866,
1996-09,53.69062,
1996-10,53.88192,
1996-11,54.07892,
1996-12,54.37644,
1997-01,54.98542,
1997-02,55.07148,
1997-03,55.10792,
1997-04,55.50664,
1997-05,55.71897,
1997-06,55.76429,
1997-07,56.05217,
1997-08,56.26733,
1997-09,56.41513,
1997-10,56.47258,
1997-11,56.71459,
1997-12,56.95922,
1998-01,56.93744,
1998-02,57.27169,
1998-03,57.61909,
1998-04,58.12122,
1998-05,58.15377,
1998-06,58.45576,
1998-07,58.73129,
1998-08,59.34833,
1998-09,59.57535,
1998-10,60.05506,
1998-11,60.64606,
1998-12,61.62560,
1999-01,62.58429,
1999-02,62.82265,
1999-03,63.31589,
1999-04,63.85577,
1999-05,64.62977,
1999-06,65.07386,
1999-07,65.13977,
1999-08,65.47585,
1999-09,65.88728,
1999-10,66.12385,
1999-11,67.02437,
1999-12,66.53432,
2000-01,66.86673,
2000-02,67.13810,
2000-03,67.11906,
2000-04,67.16978,
2000-05,66.93739,
2000-06,66.58743,
2000-07,66.29179,
2000-08,66.11737,
2000-09,65.88138,
2000-10,65.86976,
2000-11,65.92779,
2000-12,65.90348,
2001-01,66.33432,
2001-02,66.97489,
2001-03,67.45668,
2001-04,67.87440,
2001-05,68.08482,
2001-06,68.77545,
2001-07,69.03278,
2001-08,69.53586,
2001-09,70.30052,
2001-10,70.56484,
2001-11,70.56021,
2001-12,70.08083,
2002-01,66.96626,
2002-02,66.82938,
2002-03,67.09207,
2002-04,67.22495,
2002-05,67.89671,
2002-06,68.35021,
2002-07,68.51814,
2002-08,68.62369,
2002-09,68.97917,
2002-10,69.67167,
2002-11,70.20500,
2002-12,71.20679,
2003-01,71.07373,
2003-02,72.20979,
2003-03,72.17734,
2003-04,72.50398,
2003-05,73.11840,
2003-06,73.49934,
2003-07,73.26059,
2003-08,73.32035,
2003-09,73.18995,
2003-10,73.41720,
2003-11,73.96749,
2003-12,74.12681,
2004-01,74.03047,
2004-02,74.20948,
2004-03,74.38071,
2004-04,74.23311,
2004-05,74.47751,
2004-06,74.25210,
2004-07,74.50157,
2004-08,74.59209,
2004-09,74.83830,
2004-10,74.91241,
2004-11,74.91918,
2004-12,74.84345,
2005-01,75.66688,
2005-02,75.82357,
2005-03,75.58580,
2005-04,75.99543,
2005-05,76.37015,
2005-06,76.83204,
2005-07,77.38827,
2005-08,77.71847,
2005-09,77.73833,
2005-10,78.07791,
2005-11,77.90791,
2005-12,78.10610,
2006-01,78.59902,
2006-02,78.56787,
2006-03,79.48492,
2006-04,80.24102,
2006-05,80.36316,
2006-06,80.65093,
2006-07,80.32997,
2006-08,80.65928,
2006-09,80.95592,
2006-10,80.59870,
2006-11,80.95376,
2006-12,82.01057,
2007-01,82.60719,
2007-02,82.90044,
2007-03,83.80940,
2007-04,83.95152,
2007-05,84.47500,
2007-06,85.67902,
2007-07,86.43499,
2007-08,87.00052,
2007-09,88.09397,
2007-10,87.90276,
2007-11,89.46104,
2007-12,90.85825,
2008-01,92.19547,
2008-02,93.06905,
2008-03,93.53038,
2008-04,94.21419,
2008-05,94.63195,
2008-06,94.97258,
2008-07,95.63987,
2008-08,96.05211,
2008-09,96.46063,
2008-10,98.30279,
2008-11,99.43147,
2008-12,99.35974,
2009-01,100.52548,
2009-02,101.01653,
2009-03,100.20758,
2009-04,101.02677,
2009-05,100.56267,
2009-06,99.59166,
2009-07,98.99908,
2009-08,98.09752,
2009-09,98.25392,
2009-10,98.09781,
2009-11,97.45144,
2009-12,97.83529,
2010-01,98.45760,
2010-02,98.63697,
2010-03,98.10930,
2010-04,99.62316,
2010-05,99.91593,
2010-06,100.39860,
2010-07,100.29630,
2010-08,100.74204,
2010-09,101.12980,
2010-10,100.98679,
2010-11,101.22120,
2010-12,101.61464,
2011-01,102.63025,
2011-02,102.33577,
2011-03,103.15633,
2011-04,103.68597,
2011-05,104.01284,
2011-06,104.60372,
2011-07,105.11619,
2011-08,106.04257,
2011-09,106.60537,
2011-10,106.10327,
2011-11,106.75112,
2011-12,107.09696,
2012-01,107.94877,
2012-02,108.80673,
2012-03,109.48933,
2012-04,109.42083,
2012-05,110.35211,
2012-06,111.75102,
2012-07,113.08224,
2012-08,113.48956,
2012-09,114.02574,
2012-10,115.66844,
2012-11,115.73375,
2012-12,114.41598,
2013-01,114.72993,
2013-02,114.86230,
2013-03,115.07392,
2013-04,116.13381,
2013-05,116.28215,
2013-06,116.08945,
2013-07,116.51085,
2013-08,117.07123,
2013-09,117.00607,
2013-10,118.02909,
2013-11,117.42251,
2013-12,117.61185,
2014-01,118.32398,
2014-02,119.37186,
2014-03,119.22696,
2014-04,120.46796,
2014-05,121.35472,Provisional value
"",General: 1 Statistical changes have been eliminated.,
